sample,patient_id,tissue_site,cell_type_clean,n_cells,total_cells,fraction
BRONCHO_11,11,advanced_airway_tumor,B lymphocytes,1413,3178,0.4446192573945878
BRONCHO_11,11,advanced_airway_tumor,Epithelial cells,204,3178,0.06419131529263687
BRONCHO_11,11,advanced_airway_tumor,Fibroblasts,10,3178,0.0031466331025802393
BRONCHO_11,11,advanced_airway_tumor,Myeloid cells,739,3178,0.23253618628067968
BRONCHO_11,11,advanced_airway_tumor,NK cells,26,3178,0.008181246066708621
BRONCHO_11,11,advanced_airway_tumor,T lymphocytes,783,3178,0.24638137193203272
BRONCHO_11,11,advanced_airway_tumor,Undetermined,3,3178,0.0009439899307740718
BRONCHO_58,58,advanced_airway_tumor,B lymphocytes,162,2813,0.05758976182012087
BRONCHO_58,58,advanced_airway_tumor,Epithelial cells,497,2813,0.1766797013864202
BRONCHO_58,58,advanced_airway_tumor,Fibroblasts,91,2813,0.0323498044792037
BRONCHO_58,58,advanced_airway_tumor,Myeloid cells,515,2813,0.18307856381087806
BRONCHO_58,58,advanced_airway_tumor,NK cells,135,2813,0.047991468183434055
BRONCHO_58,58,advanced_airway_tumor,T lymphocytes,1411,2813,0.5015997156061145
BRONCHO_58,58,advanced_airway_tumor,Undetermined,2,2813,0.0007109847138286527
EBUS_06,06,advanced_airway_tumor,B lymphocytes,111,2303,0.04819800260529744
EBUS_06,06,advanced_airway_tumor,Epithelial cells,1197,2303,0.5197568389057751
EBUS_06,06,advanced_airway_tumor,Fibroblasts,4,2303,0.0017368649587494573
EBUS_06,06,advanced_airway_tumor,Myeloid cells,380,2303,0.16500217108119844
EBUS_06,06,advanced_airway_tumor,NK cells,101,2303,0.04385584020842379
EBUS_06,06,advanced_airway_tumor,T lymphocytes,510,2303,0.2214502822405558
EBUS_10,10,advanced_airway_tumor,B lymphocytes,2366,5144,0.4599533437013997
EBUS_10,10,advanced_airway_tumor,Epithelial cells,400,5144,0.07776049766718507
EBUS_10,10,advanced_airway_tumor,Fibroblasts,12,5144,0.0023328149300155523
EBUS_10,10,advanced_airway_tumor,Myeloid cells,835,5144,0.16232503888024882
EBUS_10,10,advanced_airway_tumor,NK cells,34,5144,0.006609642301710731
EBUS_10,10,advanced_airway_tumor,T lymphocytes,1496,5144,0.29082426127527217
EBUS_10,10,advanced_airway_tumor,Undetermined,1,5144,0.00019440124416796267
EBUS_12,12,advanced_airway_tumor,B lymphocytes,176,3115,0.0565008025682183
EBUS_12,12,advanced_airway_tumor,Epithelial cells,262,3115,0.0841091492776886
EBUS_12,12,advanced_airway_tumor,Fibroblasts,13,3115,0.004173354735152488
EBUS_12,12,advanced_airway_tumor,Myeloid cells,2332,3115,0.7486356340288924
EBUS_12,12,advanced_airway_tumor,NK cells,22,3115,0.007062600321027288
EBUS_12,12,advanced_airway_tumor,T lymphocytes,306,3115,0.09823434991974318
EBUS_12,12,advanced_airway_tumor,Undetermined,4,3115,0.0012841091492776886
EBUS_13,13,advanced_airway_tumor,B lymphocytes,1871,3550,0.5270422535211268
EBUS_13,13,advanced_airway_tumor,Epithelial cells,381,3550,0.10732394366197183
EBUS_13,13,advanced_airway_tumor,Myeloid cells,145,3550,0.04084507042253521
EBUS_13,13,advanced_airway_tumor,NK cells,1,3550,0.00028169014084507044
EBUS_13,13,advanced_airway_tumor,T lymphocytes,1149,3550,0.32366197183098594
EBUS_13,13,advanced_airway_tumor,Undetermined,3,3550,0.0008450704225352113
EBUS_15,15,advanced_airway_tumor,B lymphocytes,39,1105,0.03529411764705882
EBUS_15,15,advanced_airway_tumor,Epithelial cells,263,1105,0.23800904977375564
EBUS_15,15,advanced_airway_tumor,Fibroblasts,1,1105,0.0009049773755656109
EBUS_15,15,advanced_airway_tumor,Myeloid cells,319,1105,0.28868778280542984
EBUS_15,15,advanced_airway_tumor,NK cells,152,1105,0.13755656108597286
EBUS_15,15,advanced_airway_tumor,T lymphocytes,327,1105,0.29592760180995475
EBUS_15,15,advanced_airway_tumor,Undetermined,4,1105,0.0036199095022624436
EBUS_19,19,advanced_airway_tumor,B lymphocytes,98,2112,0.04640151515151515
EBUS_19,19,advanced_airway_tumor,Epithelial cells,228,2112,0.10795454545454546
EBUS_19,19,advanced_airway_tumor,Fibroblasts,1,2112,0.0004734848484848485
EBUS_19,19,advanced_airway_tumor,Myeloid cells,356,2112,0.16856060606060605
EBUS_19,19,advanced_airway_tumor,NK cells,251,2112,0.11884469696969698
EBUS_19,19,advanced_airway_tumor,T lymphocytes,1176,2112,0.5568181818181818
EBUS_19,19,advanced_airway_tumor,Undetermined,2,2112,0.000946969696969697
EBUS_28,28,advanced_airway_tumor,B lymphocytes,7,5182,0.001350829795445774
EBUS_28,28,advanced_airway_tumor,Epithelial cells,4766,5182,0.9197221150135083
EBUS_28,28,advanced_airway_tumor,Fibroblasts,16,5182,0.0030876109610189118
EBUS_28,28,advanced_airway_tumor,Myeloid cells,158,5182,0.03049015824006175
EBUS_28,28,advanced_airway_tumor,NK cells,9,5182,0.0017367811655731378
EBUS_28,28,advanced_airway_tumor,T lymphocytes,223,5182,0.04303357776920108
EBUS_28,28,advanced_airway_tumor,Undetermined,3,5182,0.0005789270551910459
EBUS_49,49,advanced_airway_tumor,B lymphocytes,189,1775,0.10647887323943662
EBUS_49,49,advanced_airway_tumor,Epithelial cells,122,1775,0.06873239436619719
EBUS_49,49,advanced_airway_tumor,Myeloid cells,276,1775,0.15549295774647887
EBUS_49,49,advanced_airway_tumor,NK cells,338,1775,0.19042253521126762
EBUS_49,49,advanced_airway_tumor,T lymphocytes,788,1775,0.443943661971831
EBUS_49,49,advanced_airway_tumor,Undetermined,62,1775,0.03492957746478873
EBUS_51,51,advanced_airway_tumor,B lymphocytes,99,3275,0.030229007633587785
EBUS_51,51,advanced_airway_tumor,Epithelial cells,1315,3275,0.4015267175572519
EBUS_51,51,advanced_airway_tumor,Myeloid cells,716,3275,0.21862595419847328
EBUS_51,51,advanced_airway_tumor,NK cells,498,3275,0.15206106870229008
EBUS_51,51,advanced_airway_tumor,T lymphocytes,645,3275,0.1969465648854962
EBUS_51,51,advanced_airway_tumor,Undetermined,2,3275,0.0006106870229007634
EFFUSION_06,06,pleural_effusion,B lymphocytes,446,4884,0.09131859131859132
EFFUSION_06,06,pleural_effusion,Epithelial cells,228,4884,0.04668304668304668
EFFUSION_06,06,pleural_effusion,Myeloid cells,846,4884,0.1732186732186732
EFFUSION_06,06,pleural_effusion,NK cells,640,4884,0.13104013104013104
EFFUSION_06,06,pleural_effusion,T lymphocytes,2653,4884,0.5432022932022932
EFFUSION_06,06,pleural_effusion,Undetermined,71,4884,0.014537264537264538
EFFUSION_11,11,pleural_effusion,B lymphocytes,100,2943,0.03397893306150187
EFFUSION_11,11,pleural_effusion,Epithelial cells,81,2943,0.027522935779816515
EFFUSION_11,11,pleural_effusion,Myeloid cells,688,2943,0.23377505946313284
EFFUSION_11,11,pleural_effusion,NK cells,159,2943,0.05402650356778797
EFFUSION_11,11,pleural_effusion,T lymphocytes,1789,2943,0.6078831124702684
EFFUSION_11,11,pleural_effusion,Undetermined,126,2943,0.04281345565749235
EFFUSION_12,12,pleural_effusion,B lymphocytes,795,4224,0.18821022727272727
EFFUSION_12,12,pleural_effusion,Epithelial cells,25,4224,0.005918560606060606
EFFUSION_12,12,pleural_effusion,Myeloid cells,1256,4224,0.29734848484848486
EFFUSION_12,12,pleural_effusion,NK cells,286,4224,0.06770833333333333
EFFUSION_12,12,pleural_effusion,T lymphocytes,1799,4224,0.4258996212121212
EFFUSION_12,12,pleural_effusion,Undetermined,63,4224,0.014914772727272728
EFFUSION_13,13,pleural_effusion,B lymphocytes,1012,4441,0.2278766043683855
EFFUSION_13,13,pleural_effusion,Epithelial cells,47,4441,0.01058320198153569
EFFUSION_13,13,pleural_effusion,Myeloid cells,194,4441,0.0436838549876154
EFFUSION_13,13,pleural_effusion,NK cells,124,4441,0.027921639270434586
EFFUSION_13,13,pleural_effusion,T lymphocytes,3044,4441,0.68543120918712
EFFUSION_13,13,pleural_effusion,Undetermined,20,4441,0.004503490204908804
EFFUSION_64,64,pleural_effusion,B lymphocytes,932,3812,0.24449108079748164
EFFUSION_64,64,pleural_effusion,Epithelial cells,15,3812,0.003934942287513116
EFFUSION_64,64,pleural_effusion,Myeloid cells,79,3812,0.020724029380902412
EFFUSION_64,64,pleural_effusion,NK cells,88,3812,0.023084994753410283
EFFUSION_64,64,pleural_effusion,T lymphocytes,2689,3812,0.7054039874081847
EFFUSION_64,64,pleural_effusion,Undetermined,9,3812,0.00236096537250787
LN_01,01,normal_lymph_node,B lymphocytes,1107,3626,0.30529509100937674
LN_01,01,normal_lymph_node,Myeloid cells,101,3626,0.02785438499724214
LN_01,01,normal_lymph_node,T lymphocytes,2399,3626,0.6616105901820187
LN_01,01,normal_lymph_node,Undetermined,19,3626,0.005239933811362383
LN_02,02,normal_lymph_node,B lymphocytes,687,3178,0.21617369414726242
LN_02,02,normal_lymph_node,Myeloid cells,121,3178,0.03807426054122089
LN_02,02,normal_lymph_node,T lymphocytes,2356,3178,0.7413467589679044
LN_02,02,normal_lymph_node,Undetermined,14,3178,0.004405286343612335
LN_03,03,normal_lymph_node,B lymphocytes,661,3013,0.2193826750746764
LN_03,03,normal_lymph_node,Myeloid cells,79,3013,0.02621971457019582
LN_03,03,normal_lymph_node,T lymphocytes,2232,3013,0.7407899103883173
LN_03,03,normal_lymph_node,Undetermined,41,3013,0.013607699966810488
LN_04,04,normal_lymph_node,B lymphocytes,747,3092,0.24159120310478654
LN_04,04,normal_lymph_node,Myeloid cells,51,3092,0.016494178525226392
LN_04,04,normal_lymph_node,T lymphocytes,2278,3092,0.7367399741267788
LN_04,04,normal_lymph_node,Undetermined,16,3092,0.00517464424320828
LN_05,05,normal_lymph_node,B lymphocytes,962,3087,0.31162941367023
LN_05,05,normal_lymph_node,Myeloid cells,35,3087,0.011337868480725623
LN_05,05,normal_lymph_node,T lymphocytes,2079,3087,0.673469387755102
LN_05,05,normal_lymph_node,Undetermined,11,3087,0.0035633300939423387
LN_06,06,normal_lymph_node,B lymphocytes,634,2936,0.2159400544959128
LN_06,06,normal_lymph_node,Myeloid cells,73,2936,0.02486376021798365
LN_06,06,normal_lymph_node,T lymphocytes,2197,2936,0.7482970027247956
LN_06,06,normal_lymph_node,Undetermined,32,2936,0.010899182561307902
LN_07,07,normal_lymph_node,B lymphocytes,1125,5713,0.1969193068440399
LN_07,07,normal_lymph_node,Myeloid cells,154,5713,0.026956065114650797
LN_07,07,normal_lymph_node,T lymphocytes,4408,5713,0.7715736040609137
LN_07,07,normal_lymph_node,Undetermined,26,5713,0.004551023980395589
LN_08,08,normal_lymph_node,B lymphocytes,1513,4395,0.34425483503981796
LN_08,08,normal_lymph_node,Myeloid cells,152,4395,0.03458475540386803
LN_08,08,normal_lymph_node,T lymphocytes,2717,4395,0.618202502844141
LN_08,08,normal_lymph_node,Undetermined,13,4395,0.0029579067121729237
LN_11,11,normal_lymph_node,B lymphocytes,984,3788,0.25976768743400214
LN_11,11,normal_lymph_node,Myeloid cells,159,3788,0.04197465681098205
LN_11,11,normal_lymph_node,T lymphocytes,2625,3788,0.6929778247096093
LN_11,11,normal_lymph_node,Undetermined,20,3788,0.005279831045406547
LN_12,12,normal_lymph_node,B lymphocytes,2164,4618,0.4686011260285838
LN_12,12,normal_lymph_node,Myeloid cells,363,4618,0.07860545690775228
LN_12,12,normal_lymph_node,T lymphocytes,2028,4618,0.43915114768297964
LN_12,12,normal_lymph_node,Undetermined,63,4618,0.01364226938068428
LUNG_N01,01,normal_lung,B lymphocytes,82,3194,0.02567313713212273
LUNG_N01,01,normal_lung,Endothelial cells,34,3194,0.010644959298685034
LUNG_N01,01,normal_lung,Epithelial cells,199,3194,0.06230432060112712
LUNG_N01,01,normal_lung,Fibroblasts,17,3194,0.005322479649342517
LUNG_N01,01,normal_lung,MAST cells,230,3194,0.07201001878522229
LUNG_N01,01,normal_lung,Myeloid cells,1306,3194,0.408891671884784
LUNG_N01,01,normal_lung,NK cells,374,3194,0.11709455228553538
LUNG_N01,01,normal_lung,T lymphocytes,952,3194,0.29805886036318097
LUNG_N06,06,normal_lung,B lymphocytes,29,2839,0.010214864388869321
LUNG_N06,06,normal_lung,Endothelial cells,9,2839,0.0031701303275801338
LUNG_N06,06,normal_lung,Epithelial cells,178,2839,0.06269813314547376
LUNG_N06,06,normal_lung,Fibroblasts,10,2839,0.003522367030644593
LUNG_N06,06,normal_lung,MAST cells,30,2839,0.010567101091933779
LUNG_N06,06,normal_lung,Myeloid cells,1310,2839,0.4614300810144417
LUNG_N06,06,normal_lung,NK cells,166,2839,0.058471292708700245
LUNG_N06,06,normal_lung,T lymphocytes,1107,2839,0.38992603029235645
LUNG_N08,08,normal_lung,B lymphocytes,60,3380,0.01775147928994083
LUNG_N08,08,normal_lung,Endothelial cells,116,3380,0.03431952662721893
LUNG_N08,08,normal_lung,Epithelial cells,299,3380,0.08846153846153847
LUNG_N08,08,normal_lung,Fibroblasts,20,3380,0.005917159763313609
LUNG_N08,08,normal_lung,MAST cells,84,3380,0.02485207100591716
LUNG_N08,08,normal_lung,Myeloid cells,1349,3380,0.39911242603550295
LUNG_N08,08,normal_lung,NK cells,737,3380,0.21804733727810652
LUNG_N08,08,normal_lung,T lymphocytes,715,3380,0.21153846153846154
LUNG_N09,09,normal_lung,B lymphocytes,83,2528,0.03283227848101266
LUNG_N09,09,normal_lung,Endothelial cells,57,2528,0.02254746835443038
LUNG_N09,09,normal_lung,Epithelial cells,384,2528,0.1518987341772152
LUNG_N09,09,normal_lung,Fibroblasts,53,2528,0.020965189873417722
LUNG_N09,09,normal_lung,MAST cells,103,2528,0.04074367088607595
LUNG_N09,09,normal_lung,Myeloid cells,1171,2528,0.4632120253164557
LUNG_N09,09,normal_lung,NK cells,179,2528,0.07080696202531646
LUNG_N09,09,normal_lung,T lymphocytes,498,2528,0.19699367088607594
LUNG_N18,18,normal_lung,B lymphocytes,89,4628,0.019230769230769232
LUNG_N18,18,normal_lung,Endothelial cells,177,4628,0.03824546240276577
LUNG_N18,18,normal_lung,Epithelial cells,399,4628,0.0862143474503025
LUNG_N18,18,normal_lung,Fibroblasts,183,4628,0.0395419187554019
LUNG_N18,18,normal_lung,MAST cells,82,4628,0.017718236819360415
LUNG_N18,18,normal_lung,Myeloid cells,2041,4628,0.4410112359550562
LUNG_N18,18,normal_lung,NK cells,312,4628,0.06741573033707865
LUNG_N18,18,normal_lung,T lymphocytes,1345,4628,0.29062229904926534
LUNG_N19,19,normal_lung,B lymphocytes,48,3870,0.012403100775193798
LUNG_N19,19,normal_lung,Endothelial cells,403,3870,0.1041343669250646
LUNG_N19,19,normal_lung,Epithelial cells,174,3870,0.04496124031007752
LUNG_N19,19,normal_lung,Fibroblasts,85,3870,0.021963824289405683
LUNG_N19,19,normal_lung,MAST cells,187,3870,0.04832041343669251
LUNG_N19,19,normal_lung,Myeloid cells,1134,3870,0.2930232558139535
LUNG_N19,19,normal_lung,NK cells,1041,3870,0.2689922480620155
